title,topic
"Siksika hockey star killed over $20 pack of cigarettes, judge hears",NATION
Customer fights to have $1200 power bill axed due to sign-up mix-up,NATION
"Presidential Appointment: DSS Arrests Man Who Attempted $50,000 Fraud",NATION
'I got a call to say he just stopped breathing' - Bob Mabena's last moments,NATION
Covid-19: MCCY to consider putting 5 Taoist temples on pilot scheme to allow more people to pray,NATION
"PM Imran meets UNGA president-elect, urges UN to play its role in Indian occupied Kashmir",NATION
Ruth Davidson confirms she is 'absolutely not' joining Boris Johnson's Cabinet...for now,NATION
Suspect linked to Mthwalume murders commits suicide,NATION
"Tanzania plans to employ 12,000 teachers | English.news.cn",NATION
Covid 19 coronavirus: Warning to Waiheke Island day trippers - 'I'll see you at the wharf with my pitchfork',NATION
Dunedin girls' home rapist Edward Anand denied parole,NATION
DepEd moves opening of classes to October 5,NATION
This Week in Science,SCIENCE
Experimental Results Reveal Disintegration of Higgs Boson into Muons,SCIENCE
New Findings Throw Cold Water on Ancient Mars Hypothesis,SCIENCE
Dwarf Planet Ceres Has a Secret Saltwater Ocean,SCIENCE
NASA’s tiny Ingenuity Mars helicopter hits first space milestone,SCIENCE
Betelgeuse may be ready to go supernova,SCIENCE
"Here's why NASA may change 'insensitive', 'unofficial' nicknames given to cosmic objects",SCIENCE
Celebrate Mars Reconnaissance Orbiter’s 15th birthday with these views of Mars,SCIENCE
Researchers are about to take a look at a mysterious 'blue hole' in the ocean – BGR,SCIENCE
Can Lava Tubes on the Moon and Mars Become Our New Home?,SCIENCE
"Our solar system looks like a deflated croissant, reveals NASA",SCIENCE
"NASA to remove offensive names from planets, celestial bodies",SCIENCE
An age-old food: Study examines the microbiology of cheese,SCIENCE
Odd immune system lets anglerfishes fuse males to females,SCIENCE
NASA-backed mobile gravity suit helps astronauts fight health hazards of zero-gravity space flight,SCIENCE
Perseid meteor to light up Britain’s skies with shooting stars this week,SCIENCE
Stellar pulsations distribute key ingredient for life,SCIENCE
"SpaceX Crew-1 mission with NASA, first fully operational crewed mission to space to launch in October",SCIENCE
4-Vinylanisole is an aggregation pheromone in locusts,SCIENCE
A Pair of Canadian Ice Caps Has Disappeared Entirely,SCIENCE
Scientists Say We Need to Save The World's Parasites Before We Lose Them Forever,SCIENCE
Lost dog miraculously found living in a sea cave 3 months after disappearing,SCIENCE
Hubble telescope uses the Moon as a mirror to study Earth,SCIENCE
NASA to stop using racist nicknames for cosmic objects,SCIENCE
Asteroids passing extremely close to Earth more common than you think - expert,SCIENCE
Rare ‘Boomerang’ Earthquake Tracked by Scientists in the Ocean for the First Time,SCIENCE
"Perseid Meteor Shower is Expected to Peak on August 11 and 12, Here’s How You Can Watch This Astrono ...",SCIENCE
'It came alive:' Astronauts recount wild ride home on SpaceX's Crew Dragon,SCIENCE
"Astronomers kill all the fun, blame dust for Betelgeuse’s dimming",SCIENCE
The Majestic Valleys of Mars May Not Have Been Carved by Rivers After All,SCIENCE
"This is the End: Universe Will Die in Last Black Dwarf Supernova, Study Claims",SCIENCE
3D printing in space: astronaut Sabrina Kerber returns from 'Mars',SCIENCE
Exoplanet-hunter TESS completes its primary mission,SCIENCE
These are the coronavirus rates in every part of Scotland,SCIENCE
Doctors diagnose advanced cancer—in a dinosaur,SCIENCE
NASA Goes Woke: Bye Bye 'Eskimo Nebula' & 'Siamese Twins Galaxy',SCIENCE
Weird ‘boomerang’ earthquake detected under the Atlantic Ocean,SCIENCE
How to watch the Perseid meteor shower in Metro Vancouver,SCIENCE
WATCH! NASA-Monitored 'Asteroid Tsunami' Could Possibly 'Send 400 Feet Waves' in the US Co,SCIENCE
Connections with friends and family are key to climate adaptation,SCIENCE
Half-a-billion-year-old fossil has the same eye as modern-day bees,SCIENCE
"By 2032, space scientists may be able to study a piece of Mars in their laboratories",SCIENCE
Cutting-Edge Research Shows How Hair Dulls Razor Blades,SCIENCE
Liquid crystals that can replace color shifting ink in preventing counterfeiting,SCIENCE
Sols 2844-2845: SAM is Baking to Celebrate 8 Years on Mars,SCIENCE
Thousands of Earthlike 'blanets' might circle the Milky Way's central black hole,SCIENCE
"Cremation in the Middle-East Dates as Far Back as 7,000 B.C.",SCIENCE
"Scientists Discover Simple Innovation to Make Quantum States Last 10,000 Times Longer",SCIENCE
This is when and how the universe is expected to end,SCIENCE
'Terror crocodile' the size of a London bus had teeth as big as bananas,SCIENCE
Reading FC transfer target heads to Royals' new Championship rivals Norwich City,SPORTS
ECHL announces revised start date to 2020-21 Season,SPORTS
NBA’s Success With Stopping Coronavirus Puts America To Shame,SPORTS
Pirlo named new Juventus head coach,SPORTS
"Chelsea transfer news LIVE: Willian ‘agrees’ Arsenal contract, Tottenham enter Benrahma race, Blues plan £60m",SPORTS
Bale left out by Zidane for Man City test,SPORTS
NBA Playoffs: Does size still matter? Steven Adams' big mission against Houston Rockets,SPORTS
"7am Arsenal transfer news LIVE: Wilian LATEST, Aubameyang contract UPDATES, £30m Ainsley Maitland-Niles up",SPORTS
FC Dallas reveal Cannon received death threats after calling out booing fans,SPORTS
Sheffield Wednesday to appeal against points deduction,SPORTS
Reef rumble: Mike Tyson puts deadly shark to sleep in harrowing video,SPORTS
"Video: LeBron James, Anthony Davis, J.R. Smith, Quinn Cook Seen Putting in Work After Loss to Pacers",SPORTS
Report: Mauricio Pellegrini wants to sign out-of-favour Southampton attacker,SPORTS
"AFL 2020: Players reunited with families in heartwarming photos, video",SPORTS
Pundit Exclusive: Everton may be about to sell big fans favourite,SPORTS
AFL 2020 round 12: Melbourne v Collingwood – live!,SPORTS
Atlético Madrid Group Members Test Positive for Virus,SPORTS
"Thomas Partey to Arsenal: Atletico Madrid ultimatum, transfer conditions, Raul Sanllehi plan",SPORTS
Jordan Ayew and Kudus get special compliments from Ghana FA boss Okraku,SPORTS
Matt Welsh's Ballarat Synthetic tips | RACING.COM,SPORTS
Juventus and Lyon line up for Champions League last-16 battle after polar opposite fixture schedules,SPORTS
Man City will have to plan without Sergio Aguero for Champions League knockout tournament,SPORTS
Moos explains why Big Ten teams couldn't play games on their own,SPORTS
Super Rugby Aotearoa: Crusaders coach Scott Robertson admits team failed to respect Tū Kōtahi Aotearoa trophy,SPORTS
VanVleet maintains hot hand in win over Magic as Raptors stay perfect since restart,SPORTS
Fabian Allen ruled out of Caribbean Premier League after missing flight | ESPNcricinfo.com,SPORTS
NHL announces start times for Stanley Cup Playoff games for Aug. 18,SPORTS
Arsenal hijack Man Utd move as £27m star opts to join Gunners,SPORTS
Caris Levert Named to NBA All-Seeding Games Second Team,SPORTS
GARRIOCH: The New York Rangers will likely listen to offers on their No. 1 pick in the NHL draft,SPORTS
Jadon Sancho travels with Borussia Dortmund to Bag Ragaz for pre-season,SPORTS
Sri Lanka turn to former international Lanka de Silva to lead women's team until end of 2020,SPORTS
"As Celtics grow closer, the possibilities grow larger",SPORTS
"Ben Chilwell to Chelsea: Blues make key decision, Instagram hint, Chilwell's transfer demand",SPORTS
Cameroon’s Italia 90 World Cup team to get promised houses,SPORTS
Eugenie Bouchard opens restart with straight-sets upset of No. 8 seed Kudermetova,SPORTS
"Dallas, Vegas NHL players kneel during anthems as protests gain momentum",SPORTS
Welcome to the playoffs: The NBA’s best time of year is here,SPORTS
Champions League: Which teams are in the 'final eight' tournament?,SPORTS
Premier League wish lists: How the Big Six like Man United should spend in the transfer window,SPORTS
Who has played their last game as a Maple Leaf?,SPORTS
Hamilton on Vettel: Not great knowing you're not wanted,SPORTS
1st Test: Stokes gives England hope after Yasir shines for Pakistan,SPORTS
What Brentford have said amid Aston Villa and Leeds United interest in Ollie Watkins,SPORTS
Europa League 2019/20 on TV: How to watch every fixture by date and kick-off time,SPORTS
Mark Geyer's six signings to end Tigers' historic finals drought,SPORTS
AFL 2020: Dave Hughes slams confusing holding the ball rule,SPORTS
Out of Exile: Moeen Ali hails 'amazing' Pakistan Super League experience,SPORTS
Heat's Derrick Jones Jr. (neck strain) 'moving better' after being carted off court after collision,SPORTS
NBA Increasing Security In Orlando Following Social Media Back And Fourths Between Players,SPORTS
"McLaren Senna Was Sensational, But Novitec Made It Even Better",TECHNOLOGY
This tool could protect your photos from facial recognition,TECHNOLOGY
Vivo Y30 Launching in the Kenyan Market Soon,TECHNOLOGY
"Samsung Galaxy A42 appears, could have Snapdragon 690",TECHNOLOGY
Galaxy Note 20 Ultra 5G unboxing,TECHNOLOGY
"Apple readies subscription bundles to boost services, according to Bloomberg News",TECHNOLOGY
iPhone 12 leak reveals killer upgrade to beat Galaxy Note 20,TECHNOLOGY
"‘The Wonderful 101’ director, producer express concern over possible sequel",TECHNOLOGY
Birmingham Council 'late' over outdoor seating pleas,TECHNOLOGY
"Call Of Duty Modern Warfare & Warzone Season 5: Open Stadium, Loot Train, and More",TECHNOLOGY
The Dark Sky Android App Is Officially Kaput,TECHNOLOGY
"After Jio, Google sets sights on stake in Policybazaar, might spend $150 million for 10%",TECHNOLOGY
Samsung releases TV commercial for the world's first 5G tablets,TECHNOLOGY
Microsoft's new Flight Simulator was worth the wait,TECHNOLOGY
"""Avengers"" hit AMD: Intel confirms the launch of special processors with Marvel",TECHNOLOGY
Covid-19 tracking apps and the behavioural battle between health and privacy,TECHNOLOGY
The Xbox Series X Is Just As Quiet As The Xbox One X,TECHNOLOGY
Halo Infinite will have free-to-play multiplayer with 120FPS support,TECHNOLOGY
"Fall Guys PS4 Patch 1.05 Available Now, Adds New Round and Lots of Bug Fixes",TECHNOLOGY
Collaboration key to producing world-class African films — Kunle Afolayan,TECHNOLOGY
Release of next Halo video game pushed back to 2021,TECHNOLOGY
Fall Guys is giving out a legendary costume and Kudos as an apology gift,TECHNOLOGY
Suicide Squad: Kill The Justice League And WB Montreal's Game Being Revealed At DC FanDome,TECHNOLOGY
Is SpaceX Turning Its Texas Launch Site Into a Themed Luxury Resort?,TECHNOLOGY
Black PS5 controller appears in unverified images,TECHNOLOGY
Adobe plans to preview its system of flagging 'photoshopped' images later this year,TECHNOLOGY
AD: Back by popular demand - get the Audi Q3 and A5 Sportback at interest rates as low as 0% this August,TECHNOLOGY
Cyberpunk 2077 has three “lifepath” backstories for your character,TECHNOLOGY
Comment: What’s the best email app for the Mac (Updated for 2020),TECHNOLOGY
Consumers flock to VPNs as governments consider TikTok bans,TECHNOLOGY
League of Legends Patch 10.16: Full notes and updates,TECHNOLOGY
Is Fall Guys free on PS4 and PC? Here’s when it’ll leave PS Plus,TECHNOLOGY
Cyberpunk 2077 Night City Wire Episode 3 Coming Soon,TECHNOLOGY
Flamengo set to renew Pro Evolution Soccer agreement,TECHNOLOGY
"Now, make your virtual visiting card on Google Search",TECHNOLOGY
Destiny 2's Solstice Of Heroes Event Kicks Off Next Week With New Gear,TECHNOLOGY
Why iPhone’s next OS update may bring ‘bad news’ for Facebook,TECHNOLOGY
"Gboard adds 3 new suggestions: Smart replies, GIF search, and stickers",TECHNOLOGY
Surviving the Virus: My Brother and Me review – a rigorous dispatch from the Covid frontline,TECHNOLOGY
"Plastics maker Covestro's profit bolstered by electronics, furniture",TECHNOLOGY
"Fortnite Chapter 2 Season 4: Can I Play Fortnite On Mobile? Rumors, News and More!",TECHNOLOGY
"Top Take-Aways From Intel Architecture Day 2020: SuperFin, Tiger Lake And Xe For The Win",TECHNOLOGY
Today’s Amazon Quiz Answers – 16th Aug 2020,TECHNOLOGY
"Adjust the lights, the weight, and more with Logitech's G502 wireless mouse on sale for $120",TECHNOLOGY
2020 iMac vs 2019 iMac: New vs Old,TECHNOLOGY
"*BREAKING* GTA Online Summer Update ANNOUNCED - Release Date, Content, Heists & more",TECHNOLOGY
Microsoft Celebrates Over 2000 Indie Titles on Xbox,TECHNOLOGY
Pixel inventor Russell Kirsch dead at 91,TECHNOLOGY
Best Pre-Built Gaming PCs for Microsoft Flight Simulator in 2020,TECHNOLOGY
"Today's lottery news: the Poker Lotto numbers and results for Saturday August 15, 2020 are here...",TECHNOLOGY
US government slow to act as anti-vaxxers spread lies on social media about coronavirus vaccine,WORLD
Rwandan Broadcaster Who Incited Violence Found,WORLD
Global coronavirus cases surpasses 18 million,WORLD
"Joe Biden reacts to death of Donald Trump’s younger brother, Robert",WORLD
IHC forms larger bench in Kulbhushan Yadav case hearing,WORLD
US surpasses 5 million cases as Trump's coronavirus relief package draws criticism,WORLD
Fujifilm Unit to Make COVID-19 Vaccine Candidate in Britain,WORLD
Returning Brits begin quarantine as second virus wave threatens Europe,WORLD
Netanyahu focus of Israeli protests against 'the king',WORLD
Why are there protests against Thailand’s king?,WORLD
"To Corbyn's dismay, the story of the US-UK dossier has mostly been its origin",WORLD
"What We Know About the Explosions in Beirut, Lebanon: Live Updates",WORLD
"How the Beirut blast compared with similar explosions in Texas, China and France",WORLD
Ghislaine Maxwell's complaint about treatment in jail rejected by prosecutors,WORLD
FBI heads to Beirut to help investigation of massive chemical blast,WORLD
Worried Brits scramble to delay Greece holidays over UK quarantine fears but some insist ‘it’s safer than Eng,WORLD
Sen. Cotton: Susan Rice Was 'Typhoid Mary' of Obama Foreign Policy,WORLD
PM condemns UN for letting Iran arms embargo expire,WORLD
A stricken ship is leaking tonnes of fuel into the 'pristine lagoons' of the Indian Ocean,WORLD
Army investigating after IDF missile fired at Gaza lands by kibbutz cowshed,WORLD
Kamala Harris Once Asked Chennai Aunt To Break Coconuts For Luck: Report,WORLD
85% Work On Kailash Mansarovar Route Completed: Nitin Gadkari,WORLD
US military helicopter struck by bullet over Virginia,WORLD
Spain Overtakes Britain for Most COVID-19 Cases in Europe,WORLD
What fully-online learning will look like for Ontario students who stay home this fall,WORLD
Death toll tops 150 as rescuers plough through Beirut debris,WORLD
Newly released video show onlookers' reaction to George Floyd's death,WORLD
"COVID-19 rapid needs assessment of older people, Gambella, Ethiopia – August 2020 - Ethiopia",WORLD
Murder investigation launched into death of Patrycja Wyrebek (20) in Newry,WORLD
Germans push to hold police accountable after global George Floyd protests,WORLD
List 2/4 of sports events affected by coronavirus pandemic,WORLD
"Dubai Crown Prince Doesn't Use Car After Birds Build Nest On It, He Didn't Want To Disturb Them",WORLD
How Russia jumped ahead of the pack on Covid-19 vaccine,WORLD
Lebanon security situation to delay help for stranded Kenyans,WORLD
"Coronavirus vaccine candidate induces immune response, trial results indicate",WORLD
WHO keen to review Russian vaccine trials,WORLD
Nora Anne mystery revisited,WORLD
Infections in healthcare workers make up almost a third of Victoria's new coronavirus cases,WORLD
"The rich defy corona, scramble for new Land Rover Defender",WORLD
Eleven die in fire in Czech Republic tower block,WORLD
"How to prevent the looming sovereign debt crisis | VOX, CEPR Policy Portal",WORLD
UAE denies placing travel ban on Nigerians,WORLD
Liberia: Test Scandal Busted At NPHIL,WORLD
"Amaechi, Malami correct NASS on sovereign immunity",WORLD
Video shows prison inmate saying 'I can't breathe' as officers restrain him before he dies,WORLD
Virtual school: pros and cons,WORLD
Bolivia cancels school year for 2 million children due to Covid-19,WORLD
Hong Kong media mogul Jimmy Lai arrested under security law,WORLD
"Agreement for Rashakai SEZ to be signed by August end, says Asim Bajwa",WORLD
Russia: 20 countries have ordered new 'Sputnik' vaccine,WORLD
